gene	pLI	LOEUF
DNAJB5	0.20629	0.587
SYN3	0.0018871	0.587
KCNC3	0.20575	0.587
SEZ6	1.7486e-06	0.587
MTTP	1.04e-05	0.587
TMX3	0.0044014	0.587
URB1	1.2231e-17	0.587
FLRT1	0.35651	0.587
GALNT1	0.0019091	0.587
DDX43	2.4641e-05	0.587
RALGAPA2	3.0325e-17	0.587
PLA2G4A	5.9817e-05	0.587
DNAJC8	0.050961	0.587
JUP	0.00080103	0.587
MLH3	4.9023e-08	0.587
ADCK5	0.0043693	0.588
MBTPS1	7.5901e-09	0.588
ULK2	1.877e-08	0.588
GTF3C3	6.9686e-07	0.588
GALNT16	0.00013872	0.588
TRMT5	0.049774	0.588
C7orf25	0.35388	0.588
MYBPC3	8.0087e-11	0.588
TMEM9B	0.53075	0.588
RAB4A	0.2026	0.589
CDX2	0.52887	0.589
NSFL1C	0.049492	0.589
ARR3	0.10401	0.589
CLP1	0.20272	0.589
CPEB2	0.00013675	0.589
RBBP8NL	0.0098478	0.589
USP9Y	5.7399e-05	0.589
VAPA	0.35325	0.589
FNDC1	4.7841e-12	0.589
SLC19A3	0.1039	0.589
TBC1D10A	0.0042922	0.589
TMEM180	0.049526	0.589
ZNF330	0.049087	0.59
EGR1	0.3509	0.59
EXOC2	2.8675e-09	0.59
C14orf166	0.20165	0.59
CRY2	0.00031808	0.59
PEX5	5.5557e-05	0.59
DNAJA3	0.0098017	0.59
HBP1	0.0042407	0.59
FIZ1	0.52618	0.59
ZC3HAV1	2.3159e-05	0.59
ESAM	0.20185	0.59
SNX12	0.78413	0.59
SOWAHA	0.68222	0.59
ABLIM3	1.0625e-07	0.59
SETDB2	2.3171e-05	0.59
RPS24	0.68141	0.591
C11orf73	0.52459	0.591
NAB1	0.021949	0.591
TRA2A	0.0095214	0.591
ORMDL3	0.78329	0.591
FOXM1	0.0007414	0.591
ADRB2	0.52545	0.591
LETMD1	0.048505	0.591
SH3BP5	0.04833	0.591
TACC1	5.4901e-05	0.591
WBP2	0.34916	0.591
COG2	9.3658e-06	0.591
PHLDB2	1.6748e-08	0.591
HSD17B6	0.34807	0.591
TRIM25	0.0041202	0.591
COIL	0.009434	0.592
B4GALT2	0.19829	0.592
DCUN1D4	0.047486	0.592
SMOC1	0.0094673	0.592
EIF3H	0.047483	0.592
ONECUT1	0.52333	0.592
FLAD1	0.0093637	0.592
SLC8A3	0.00073391	0.592
GPM6B	0.34626	0.592
C19orf26	0.34663	0.592
PGRMC2	0.6801	0.592
GPR26	0.52096	0.593
MED19	0.78193	0.593
EDNRB	0.0092419	0.593
EXOC6	2.435e-07	0.593
PTPLAD1	0.0092999	0.593
LPAR3	0.67935	0.593
VWF	3.2187e-25	0.593
TMEM245	3.6257e-06	0.593
BCL6B	0.046898	0.593
FANCM	2.3536e-15	0.593
METAP2	0.0039908	0.593
STXBP3	5.1597e-05	0.593
NUMB	0.0039959	0.593
LBX1	0.67886	0.593
C1orf94	0.0093207	0.593
CDH13	0.0007058	0.594
SPSB1	0.51982	0.594
FAM192A	0.19472	0.594
ZFYVE21	0.3425	0.594
HPCA	0.6783	0.594
RIPK4	0.0039646	0.594
RBP4	0.51951	0.594
CLSTN2	3.5246e-06	0.594
ADAM12	5.7284e-07	0.594
HLA-DRA	0.51949	0.594
SORBS1	1.534e-12	0.594
TNNC1	0.67833	0.594
PDCD11	3.2929e-16	0.594
ITGA2	6.2805e-11	0.594
SP5	0.51846	0.595
IRF5	0.0090365	0.595
RP11-407N17.3	5.5603e-07	0.595
COL7A1	2.4411e-40	0.595
ASCL1	0.67692	0.595
SIX6	0.51776	0.595
PIK3CG	1.4076e-06	0.595
NGFR	0.097889	0.595
LMO4	0.67667	0.595
DPF3	0.020501	0.595
NAA60	0.51694	0.596
NAA60	0.51694	0.596
SPNS1	0.020414	0.596
RSPH10B2	0.020458	0.596
ARHGAP12	5.513e-07	0.596
C1S	0.00067654	0.596
SH3BP5L	0.04569	0.596
DES	0.0088282	0.596
NUSAP1	0.045674	0.596
BDP1	1.3294e-21	0.596
DISP1	8.8581e-08	0.596
VANGL1	0.020285	0.596
CD72	0.020272	0.596
RAB33B	0.67523	0.597
UBASH3B	4.7054e-05	0.597
VWA5B2	5.2466e-07	0.597
FAM175B	0.020167	0.597
TIMM44	0.0015924	0.597
ANKRD46	0.51507	0.597
NDN	0.67495	0.597
RANBP6	0.00011385	0.597
ZBTB42	0.33802	0.597
TNFRSF11A	0.0087667	0.597
ROBO1	7.2696e-16	0.597
P2RY1	0.51522	0.597
KIFC1	0.00065654	0.598
PDE12	0.044374	0.598
TNFRSF25	0.0086475	0.598
ZFP36L1	0.67406	0.598
TMEM110	0.18873	0.598
CDC45	4.6237e-05	0.598
ARHGEF33	7.7621e-06	0.598
CRYBG3	0.00026933	0.598
CIRBP	0.33636	0.598
SRPK1	1.91e-05	0.598
NXF3	0.0085216	0.599
ARFGAP1	0.0015429	0.599
ATP8A2	1.2026e-12	0.599
UBLCP1	0.094508	0.599
HOXC6	0.51165	0.599
CLTB	0.33443	0.599
TICRR	7.2142e-14	0.599
HIF3A	0.0015428	0.599
CD97	3.0761e-06	0.599
C20orf194	1.1351e-12	0.6
CRX	0.51043	0.6
PGAP1	3.1628e-08	0.6
CDYL2	0.019293	0.6
PRDM14	0.019397	0.6
AREL1	4.9149e-07	0.6
SPIN3	0.77837	0.6
COMMD3-BMI1	0.0014998	0.6
LHFP	0.67057	0.601
TBC1D23	1.782e-05	0.601
BUB1	4.8813e-09	0.601
CDK5R2	0.67068	0.601
EFEMP2	0.0081938	0.601
ALDOC	0.092245	0.601
PCED1A	0.092448	0.601
ENTPD1	0.0080716	0.602
MYPOP	0.66892	0.602
EHD3	0.042234	0.602
GDPD5	0.00025041	0.602
TBC1D12	1.715e-05	0.602
CNR1	0.50652	0.602
NOLC1	0.00010396	0.602
FZD1	0.042428	0.602
BRF1	0.00010409	0.602
CTTNBP2	1.7221e-11	0.602
CEP192	1.2397e-22	0.602
FAM3A	0.66899	0.602
C7orf63	7.3323e-08	0.602
SLC6A15	0.00060384	0.602
DOK4	0.091531	0.602
ZFYVE26	4.6948e-23	0.602
C20orf24	0.66964	0.602
MON1B	0.018676	0.602
DACT3	0.50555	0.603
NELFB	0.0033903	0.603
ZNF35	0.042004	0.603
LSS	1.813e-07	0.603
WNT1	0.3263	0.603
RPRD1B	0.041768	0.603
TADA1	0.090708	0.603
TNXB	0.018547	0.603
ZNF143	0.00024403	0.603
ADAMTS3	1.0278e-10	0.604
MAEL	0.0014038	0.604
RSPO3	0.089252	0.604
RHOBTB1	0.00024175	0.604
VASH1	0.32566	0.604
FGFR3	1.6432e-05	0.604
SGSM2	4.2902e-09	0.604
AMN1	0.32526	0.604
SEMA5B	2.6361e-10	0.604
TMC5	6.9877e-08	0.604
EGR2	0.50292	0.604
STX3	0.041297	0.604
MCOLN1	0.00058027	0.604
NSF	0.018338	0.604
TMEM106B	0.32576	0.604
SLC2A14	0.041173	0.604
ACSBG1	3.959e-05	0.605
HAUS4	0.018011	0.605
PGGT1B	0.040841	0.605
ADRA2C	0.50159	0.605
SGTB	0.040724	0.605
TULP1	0.00056824	0.605
CCDC93	6.7876e-08	0.605
PIWIL2	2.7078e-08	0.605
COL5A3	3.3468e-20	0.605
RHOXF1	0.77494	0.606
GNS	0.00056441	0.606
TNFRSF21	0.040615	0.606
TNFRSF9	0.32153	0.606
IL23R	0.00055961	0.606
N4BP2	3.7496e-11	0.606
STAG3	8.7188e-13	0.606
NCAPG	4.0848e-07	0.606
RGS12	4.0922e-09	0.606
MIDN	0.17862	0.606
STK17A	0.040434	0.606
SEC13	0.017926	0.606
FZD7	0.08835	0.606
FKBP15	5.551e-12	0.607
FLII	5.5313e-12	0.607
SMTN	1.5966e-07	0.607
METTL14	0.0013331	0.607
PRDM4	0.0013238	0.607
DHX38	2.1124e-12	0.607
FCER1G	0.66327	0.607
ST3GAL4	0.039802	0.607
ALX1	0.17618	0.607
IK	2.4864e-06	0.607
EFNB3	0.3205	0.607
EIF3M	0.01748	0.607
ARPP19	0.77371	0.608
PSD2	0.00022099	0.608
DDX50	9.7491e-07	0.608
CLCN6	6.1077e-08	0.608
DOLPP1	0.17497	0.608
GTF2E2	0.039299	0.608
NCKIPSD	0.00022309	0.608
CSTF2T	0.086385	0.608
SLC17A8	0.0013196	0.608
SERINC1	0.0074634	0.608
MEF2C	0.017256	0.608
KIAA0754	0.085483	0.609
ZC3H10	0.31615	0.609
MAPK7	0.0031023	0.609
GLIS1	0.038902	0.609
NEK6	0.038901	0.609
NDUFA2	0.77351	0.609
KATNB1	1.4478e-05	0.609
ZNF324	0.038443	0.61
KHDRBS2	0.038537	0.61
TFAM	0.17259	0.61
IHH	0.31397	0.61
PDZRN4	9.1425e-07	0.61
LYL1	0.77265	0.61
VPS53	1.3999e-07	0.611
C19orf47	0.17091	0.611
ZNF583	0.007156	0.611
TMEM120B	0.0071229	0.611
COX10	0.08405	0.611
SOHLH2	0.0012421	0.611
CCDC169-SOHLH2	0.0012421	0.611
WNT2B	0.038333	0.611
DAPP1	0.17169	0.611
GNAI3	0.038287	0.611
SMARCAL1	2.2554e-06	0.611
SNX33	0.08407	0.611
SH3D19	5.5622e-06	0.611
MTFR1L	0.31279	0.611
PLEKHG2	1.3557e-09	0.611
PREX2	3.3283e-16	0.611
AKAP14	0.65829	0.612
BTBD10	0.0029452	0.612
UXS1	0.0029371	0.612
ABCF1	1.2823e-09	0.612
TMEM64	0.49005	0.612
ST6GALNAC5	0.16967	0.612
ZNF101	0.77153	0.612
NRAS	0.49009	0.612
GPR124	5.4955e-08	0.612
GLUD1	0.0070495	0.612
KLF15	0.48843	0.613
SLC1A5	0.16869	0.613
ICK	1.3376e-05	0.613
TAT	0.0068998	0.613
CD164	0.48906	0.613
SLC39A7	0.082078	0.613
ASIC4	0.0028675	0.614
HLA-E	0.036773	0.614
C11orf57	0.30748	0.614
MAPK3	0.036884	0.614
TGFB1	0.03685	0.614
RNF166	0.48668	0.614
SLC7A6OS	0.16755	0.614
PAX9	0.30866	0.614
LCAT	0.08102	0.614
ITPR2	5.7127e-29	0.615
LONRF2	0.0011706	0.615
SPIC	0.30668	0.615
OLFM2	0.080225	0.615
SLC30A2	0.080883	0.615
HOMEZ	0.015814	0.615
KCNJ2	0.30653	0.615
RNF20	1.7545e-10	0.615
TMEM89	0.76981	0.615
GPC1	0.015547	0.616
NOP10	0.76943	0.616
PALM3	0.48446	0.616
FECH	0.0027587	0.616
ANKRD10	0.1645	0.616
DPP4	7.2797e-09	0.616
AHCY	0.035922	0.616
PDCL	0.30486	0.616
COL4A4	6.7123e-16	0.616
NXPH1	0.4837	0.616
DCX	0.3042	0.616
RCSD1	0.036157	0.616
RGMA	0.16472	0.616
TMEM39B	0.0065082	0.617
CLDND1	0.16354	0.617
EPHB6	1.2013e-07	0.617
RP11-1035H13.3	0.1639	0.617
OPRL1	0.48172	0.617
LYSMD3	0.30382	0.617
MAN2A1	1.6205e-10	0.617
POLR2H	0.65257	0.617
AARS	1.8242e-08	0.617
LHFPL4	0.65247	0.617
DACH2	0.16242	0.618
ZFP92	0.65179	0.618
CDC42SE2	0.76835	0.618
PTPDC1	2.9858e-05	0.618
HSPA12B	0.00045299	0.618
RGS8	0.30184	0.618
ICAM1	0.035295	0.618
KCNJ9	0.30133	0.618
RPL28	0.76854	0.618
ZNF41	0.035083	0.618
CCDC92	0.29985	0.619
NOC4L	0.0010792	0.619
OTUD1	0.65091	0.619
IER2	0.76773	0.619
ZBTB7C	0.16087	0.619
KLHL13	0.035016	0.619
MAN2A2	1.4995e-10	0.619
TMED7	0.47966	0.619
TBP	0.015031	0.619
SOX7	0.47914	0.619
WIPI2	0.0063887	0.619
MIB2	2.8024e-07	0.62
RCE1	0.15955	0.62
FZD3	0.00043561	0.62
MAPK1IP1L	0.64991	0.62
ZNF133	0.0026035	0.62
TUBA4A	0.15983	0.62
JKAMP	0.076522	0.62
CNIH1	0.64965	0.62
TUSC2	0.7671	0.62
PRC1	2.6753e-07	0.621
WDR91	4.3664e-06	0.621
BCAN	1.7582e-06	0.621
LAMA1	3.2248e-32	0.621
HADHA	4.4354e-06	0.621
PABPC1L	0.00043212	0.621
UNC5B	2.6935e-07	0.621
NR1D2	0.0061743	0.621
HSPA4L	6.9455e-07	0.621
FAM160A1	1.1161e-05	0.621
ST3GAL3	0.0025598	0.621
ESYT1	1.6707e-13	0.622
FOXRED2	0.0025238	0.622
FADS3	0.0025334	0.622
PRKD1	6.6485e-07	0.622
SMOC2	0.0025279	0.622
KRT10	0.0025253	0.622
NSMCE4A	0.014523	0.622
PAF1	0.00016932	0.622
PLEKHO2	0.033559	0.622
GPR50	0.64639	0.623
HOOK1	3.8686e-08	0.623
SLC25A3	0.074834	0.623
GOT2	0.014233	0.623
TMEM123	0.64643	0.623
COQ10B	0.29421	0.623
ZNF304	0.032902	0.624
ATP1B2	0.073684	0.624
QSOX1	2.5936e-05	0.624
YARS	0.0010047	0.624
GJA1	0.15523	0.624
TDRD3	4.1011e-06	0.624
RTN3	6.6163e-05	0.624
PPP4R4	2.2494e-09	0.624
CD2	0.47108	0.624
SMARCD2	6.4893e-05	0.625
TLR9	1.0088e-05	0.625
C1orf172	0.15422	0.625
ZBED6	0.00039942	0.625
ZNF563	0.7644	0.625
RNF167	0.032145	0.626
TXNDC16	9.949e-06	0.626
CKAP2L	0.00015885	0.626
LRRN3	0.032413	0.626
SPAG17	1.1892e-24	0.626
SERAC1	3.9339e-06	0.626
TMEM41B	0.28842	0.626
EPS8L2	1.494e-06	0.627
SERPINF2	0.013624	0.627
FBXO24	0.00038251	0.627
KEAP1	0.00038766	0.627
MTR	2.4301e-12	0.627
UTP18	0.0023345	0.627
CERS3	0.0056921	0.627
COL16A1	2.9031e-24	0.627
SUCLA2	0.0023488	0.627
TOX2	0.031987	0.627
IL22RA1	0.0056855	0.627
FDPS	0.0056199	0.628
DRP2	3.7475e-06	0.628
SV2C	2.4354e-05	0.628
MRVI1	2.2619e-07	0.628
ACTG2	0.071036	0.628
CENPL	0.071221	0.628
HOXA1	0.28514	0.628
DOPEY2	7.5465e-21	0.628
MAB21L1	0.28626	0.628
HR	7.438e-10	0.628
CITED2	0.76271	0.628
RUNDC3B	0.00093163	0.628
NR1H4	0.00093892	0.628
SHFM1	0.76288	0.628
ERGIC2	0.013458	0.628
CTC1	1.6015e-11	0.628
SLC35B2	0.071488	0.628
CHN2	0.0023008	0.628
NEDD4	8.7208e-13	0.628
NXPE3	0.013439	0.628
MARK3	1.4273e-06	0.629
CDSN	0.46391	0.629
LRRC49	9.3518e-06	0.629
GATA5	0.28478	0.629
SYNPO2	8.5623e-08	0.629
RAB24	0.14963	0.629
ZFAT	1.275e-08	0.629
FAM13C	5.8127e-05	0.63
AMFR	5.8368e-05	0.63
TMEM165	0.28339	0.63
EDIL3	0.00014584	0.63
CABLES1	0.0054966	0.63
MYH3	6.7197e-21	0.63
ZFAND6	0.46236	0.63
EFNA1	0.46263	0.63
FSTL5	1.4042e-06	0.63
DNAJC10	1.1869e-08	0.631
NKX3-2	0.63821	0.631
LDHA	0.069173	0.631
STARD9	1.0336e-38	0.631
MGAT3	0.14725	0.631
SLC51A	0.069643	0.631
ATP6V1H	0.00014523	0.631
SYCE2	0.28077	0.631
SV2B	5.7007e-05	0.631
PDDC1	0.46045	0.631
PPARA	0.030182	0.632
PLAT	5.6593e-05	0.632
PSMD8	0.068806	0.632
ARL4C	0.76081	0.632
HEATR5B	3.066e-22	0.632
IL17RA	0.00035636	0.632
MPP3	3.4521e-06	0.632
UTP14C	0.0053453	0.632
CAB39	0.068013	0.633
SLC6A9	2.1702e-05	0.633
VSNL1	0.45742	0.633
HPS4	0.00013778	0.633
LMO1	0.63546	0.633
SLC25A37	0.27886	0.633
PTPRJ	1.2879e-11	0.634
GOLGA7	0.45619	0.634
VRK1	0.0021149	0.634
MKRN3	0.27756	0.634
EN2	0.63448	0.634
FCGR2B	0.45637	0.634
CAMKK1	0.00033981	0.634
ACVR1C	0.00085157	0.634
KPNA5	0.00013525	0.634
MPC2	0.63515	0.634
USP4	1.6119e-09	0.634
FAM53C	0.067598	0.634
BRCA2	2.3581e-25	0.635
MEI1	4.711e-12	0.635
ITGAM	3.3148e-11	0.635
EDN1	0.45504	0.635
PPARG	0.029194	0.635
PRR5	0.066916	0.635
TJP2	3.236e-11	0.635
UNCX	0.63399	0.635
SEMA6C	1.238e-06	0.635
RP5-1052I5.2	0.066738	0.635
ZNF382	0.029397	0.635
THSD7B	2.6474e-19	0.635
COL9A2	1.0453e-08	0.636
HCRTR2	0.005035	0.636
SLC18A3	0.45355	0.636
ALOX5	1.2059e-06	0.636
CALCOCO1	1.202e-06	0.636
SLC25A23	0.0020617	0.636
SLC25A4	0.45334	0.636
TMOD3	0.06636	0.636
SPIN4	0.75843	0.636
TEF	0.63291	0.636
UBC	0.14161	0.636
DOK1	0.029002	0.636
SIL1	0.012265	0.636
RCHY1	0.066203	0.636
TINAGL1	0.00032933	0.636
BGN	0.45229	0.637
UBE2S	0.63172	0.637
HDGF	0.27272	0.637
PPFIA4	1.9863e-05	0.637
SLC1A4	0.06559	0.637
ATRIP	1.9918e-05	0.637
DENND2D	0.00081369	0.637
PRR5L	0.065457	0.637
WDR12	0.00032559	0.637
VSTM2A	0.27277	0.637
GALNT10	1.987e-05	0.637
GDF7	0.63062	0.638
SOCS2	0.62999	0.638
TRHR	0.2711	0.638
TPST2	0.27109	0.638
ABCB11	1.5612e-12	0.638
NR2F6	0.45111	0.638
AMPD2	4.5084e-07	0.638
ANPEP	3.7492e-09	0.638
MPZ	0.27158	0.638
GRM8	4.5334e-07	0.638
KCNG3	0.27167	0.638
PLOD2	6.6965e-08	0.638
SYNGR1	0.45121	0.638
TNNT2	0.0020041	0.638
DHX16	1.5996e-12	0.638
CYC1	0.13875	0.639
GTF2IRD2B	0.064422	0.639
MYCBPAP	9.491e-09	0.639
RP11-1407O15.2	0.028009	0.639
TBCCD1	0.0019751	0.639
GCDH	0.004856	0.639
LGR6	2.9439e-06	0.639
SH3GL1	0.011714	0.639
LRRC8C	0.00078506	0.639
UGT8	0.027986	0.639
CHST14	0.44727	0.64
ICA1L	0.00077913	0.64
LRRK2	2.5757e-30	0.64
PRIMA1	0.62894	0.64
ZDHHC3	0.027681	0.64
POLE	8.0488e-27	0.64
ZBTB26	0.1378	0.64
CNN1	0.13803	0.64
NDST4	6.3382e-08	0.64
GFRA3	0.027638	0.64
GGPS1	0.26866	0.64
SLC6A11	4.83e-05	0.64
RPS27	0.75663	0.64
CYTH4	0.00077316	0.64
AEBP1	7.3471e-11	0.64
RALY	0.13796	0.64
NDUFA9	0.0047988	0.64
LAMB1	5.0687e-22	0.64
MTO1	7.38e-06	0.64
CRKL	0.44604	0.641
GALNT18	0.00030345	0.641
ALG6	0.00030541	0.641
ZBTB6	0.13693	0.641
ARFRP1	0.13743	0.641
CHCHD3	0.027527	0.641
C19orf66	0.13736	0.641
KIAA0195	2.7548e-14	0.641
MESDC2	0.62773	0.641
STK38	0.00076687	0.641
MOG	0.13748	0.641
THOP1	0.0001213	0.641
STARD13	2.3524e-08	0.641
PKP4	5.269e-13	0.641
PNPLA6	1.94e-13	0.641
LAMP2	0.26698	0.641
RGS17	0.26684	0.641
SEMA4A	1.8394e-05	0.641
KREMEN1	0.011362	0.642
CDK4	0.062909	0.642
ZNF2	0.027216	0.642
PTPN13	1.4172e-25	0.642
GOSR1	0.062823	0.642
B4GALT3	0.011393	0.642
IL20RA	0.027129	0.642
STC2	0.26588	0.642
TRIM37	9.7042e-12	0.642
TMEM151B	0.13582	0.642
PACSIN3	0.0018909	0.642
PDIK1L	0.26436	0.643
KLHL7	4.559e-05	0.643
ZNF641	0.0045726	0.643
TNFAIP1	0.13509	0.643
RAB11B	0.4442	0.643
SSTR2	0.44416	0.643
NLE1	0.0002959	0.643
B3GAT1	0.13521	0.643
IL21	0.6254	0.643
TRIM7	0.02684	0.643
KIAA1958	0.011171	0.643
PURB	0.62543	0.643
TNFSF10	0.13495	0.643
TMEM60	0.75498	0.643
PHF10	0.0002878	0.644
USP38	3.8483e-07	0.644
ZBTB48	0.00011507	0.644
SIGLEC10	6.8352e-06	0.644
CHL1	8.889e-12	0.644
CRBN	0.00028911	0.644
LRIG3	1.1655e-09	0.644
SERPINI1	0.026631	0.644
TMEM2	4.6831e-13	0.644
C2CD3	4.4437e-19	0.644
SUDS3	0.0045448	0.644
ELF4	0.06139	0.644
RAD51	0.026578	0.644
MGAT4A	4.4513e-05	0.644
TMEM132E	4.4887e-05	0.644
CACNB3	0.00028915	0.644
AQP3	0.13398	0.644
MPHOSPH9	1.6616e-10	0.644
AP3M1	0.026524	0.644
GALNT7	2.5907e-06	0.644
CELF6	0.0044515	0.645
TMEM56	0.26127	0.645
MYO1G	4.3609e-10	0.645
RGS3	2.2646e-11	0.645
CUEDC2	0.060805	0.645
CLPTM1L	4.3885e-05	0.645
UHRF1BP1	4.4659e-13	0.645
ZBTB14	0.26111	0.645
ACTL6B	0.00028347	0.645
DZIP3	1.6537e-13	0.645
FOS	0.26176	0.645
CDKN1B	0.62376	0.645
RIT1	0.13281	0.645
USP28	4.5284e-13	0.645
LUC7L2	0.00028277	0.645
ARPC1B	0.010999	0.645
DIO3	0.62331	0.645
CP	4.2013e-10	0.646
GZF1	0.0017798	0.646
C14orf93	0.01085	0.646
RRAD	0.43879	0.646
TIMM50	0.0017835	0.646
AC074212.3	0.0044198	0.646
EDC3	0.026011	0.646
ADAMTS7	2.2517e-14	0.646
CENPN	0.0044226	0.646
GPR22	0.060335	0.646
TRIP10	1.6667e-05	0.646
PSKH1	0.26016	0.646
GALNT11	1.6685e-05	0.646
PSME1	0.13197	0.646
CEP250	9.449e-33	0.647
CUBN	4.6292e-42	0.647
RBP3	0.00010889	0.647
PPP1R16A	0.004389	0.647
TCP11L1	0.0043702	0.647
ADAMTSL3	1.3662e-19	0.647
SGOL2	3.6085e-07	0.647
NLRP6	0.00027432	0.647
ZG16	0.62131	0.647
IL1B	0.13005	0.648
LAMC2	2.8791e-12	0.648
SUN2	1.9389e-08	0.648
ITGB4	9.5287e-19	0.648
HIC1	0.13002	0.648
RRN3	1.618e-05	0.648
LPPR5	0.0593	0.648
CXorf57	0.0002712	0.648
SYTL5	0.00026919	0.648
SHC1	0.0017351	0.648
KISS1R	0.43649	0.648
ZNF341	2.4063e-06	0.648
FBXO10	2.3763e-06	0.648
PEX6	6.253e-06	0.648
ARL8B	0.12959	0.649
BAIAP2L1	0.00010429	0.649
TDRD9	7.2697e-15	0.649
ITGB7	2.3661e-06	0.649
ENOX1	2.3323e-06	0.649
WIPI1	0.0016999	0.649
FAM57A	0.25619	0.649
NPHP3	9.836e-16	0.649
SLC25A1	0.058829	0.649
LCA5	4.0606e-05	0.649
COG1	4.9379e-08	0.649
FXYD6	0.61886	0.649
TMEM168	0.0042658	0.649
VPS13B	2.5029e-45	0.65
PPWD1	3.9819e-05	0.65
BCAP31	0.43366	0.65
CALCOCO2	0.0001027	0.65
CCDC80	6.0008e-06	0.65
YES1	4.0091e-05	0.65
ABHD17B	0.25442	0.65
KLHL24	0.0016745	0.65
RHAG	0.010404	0.65
NID1	7.2197e-12	0.65
POLA2	8.7346e-07	0.65
LOXL2	3.3844e-07	0.65
SLC2A3	0.010333	0.65
FGF16	0.75107	0.65
FAM98B	0.010312	0.65
COLCA2	0.75066	0.651
KLHL23	0.0041626	0.651
NTM	0.057798	0.651
ST8SIA2	0.058099	0.651
MEAF6	0.12785	0.651
HTR4	0.024701	0.651
CDCP1	0.0001002	0.651
WNT4	0.12766	0.651
SLC35E1	0.1273	0.651
PLEKHG3	4.6804e-08	0.651
FOLR1	0.12642	0.652
EPOR	0.0101	0.652
TTYH2	9.9328e-05	0.652
EXOC7	3.2288e-07	0.652
TAX1BP1	1.2061e-07	0.652
ZC3HC1	0.00025557	0.652
NBR1	6.6564e-09	0.652
HSPBP1	0.057208	0.652
MED25	8.4174e-07	0.652
NECAP1	0.12559	0.653
UIMC1	8.2815e-07	0.653
PGM3	1.4641e-05	0.653
USP51	0.12613	0.653
CD58	0.25092	0.653
CDS1	0.00064056	0.653
PRMT2	0.0016132	0.653
ABCB9	0.00025164	0.653
T	0.024262	0.653
GATAD1	0.42971	0.653
ALG9	0.00064044	0.653
SMCR8	0.001598	0.654
CSPG5	0.056186	0.654
ACSF2	1.4241e-05	0.654
TRPC6	3.0274e-07	0.654
BMP3	0.056398	0.654
REC8	5.5411e-06	0.654
RABGEF1	0.00063083	0.654
NBEAL1	5.1093e-33	0.654
MTMR2	3.0351e-07	0.654
KCTD7	0.00063083	0.654
KIAA1715	0.00062151	0.655
NHP2L1	0.74848	0.655
SLC7A6	0.0097291	0.655
UBE2E3	0.42649	0.655
IPCEF1	0.0015595	0.655
NOL11	7.9154e-07	0.655
ATP2A3	2.247e-09	0.655
PHB2	0.0039339	0.655
CCIN	0.12403	0.655
MYD88	0.12443	0.655
LAMB2	2.5006e-19	0.655
RAI2	0.61158	0.656
PTPN21	2.2052e-12	0.656
FRMPD1	2.1898e-12	0.656
RNF213	4.9078e-55	0.656
NUDT3	0.42531	0.656
CIRH1A	7.7093e-07	0.656
TAP1	5.3431e-06	0.656
NKAIN1	0.24678	0.656
KLHL5	5.2757e-06	0.656
TCEAL4	0.74827	0.656
CD6	9.2695e-05	0.656
SEMA3D	4.0219e-08	0.657
DPY19L3	2.8534e-07	0.657
ECT2	8.0837e-10	0.657
BRDT	5.7616e-09	0.657
JTB	0.42432	0.657
PHKG2	0.0038581	0.657
DVL2	1.3576e-05	0.657
KCNF1	0.24593	0.657
P4HA2	1.9699e-06	0.657
CREB3L2	0.0015297	0.657
ACTR10	0.0015053	0.658
BEND5	0.054336	0.658
NOTCH2NL	0.60972	0.658
FRAS1	3.0802e-45	0.658
PGM5	0.00059096	0.658
SESN1	0.00059629	0.658
VPS45	5.094e-06	0.658
PELI3	0.0094922	0.658
IL2RA	0.054709	0.658
YPEL1	0.60986	0.658
CASP2	0.0015026	0.658
NTRK1	1.9568e-06	0.658
EHBP1L1	7.1163e-13	0.659
GPR162	0.0093905	0.659
TRIM36	3.415e-05	0.659
SCG3	0.0014883	0.659
TRIM44	0.053808	0.659
TMED4	0.24339	0.659
HOMER2	0.0093921	0.659
PRRX1	0.24291	0.659
TRABD	0.022862	0.659
ENPP4	0.11941	0.66
CCM2	0.0092809	0.66
HOXC13	0.42048	0.66
ANGPTL2	0.0014712	0.66
SOCS3	0.74613	0.66
VASH2	0.24217	0.66
LAT	0.0092377	0.66
GUCD1	0.24228	0.66
TOMM22	0.60847	0.66
COG7	2.5926e-07	0.661
SNX5	0.001446	0.661
PPP1R1B	0.24098	0.661
AQP9	0.24027	0.661
GLRX5	0.7456	0.661
CPT1A	5.114e-09	0.661
TBC1D9B	5.0231e-12	0.661
PRUNE	0.0091474	0.661
DENND3	1.3007e-11	0.662
HSD11B1	0.41696	0.662
PDCD1	0.41706	0.662
C12orf44	0.60623	0.662
MIA2	0.0014245	0.662
PPM1B	0.0090829	0.662
NUP35	0.022182	0.662
FAM117B	0.0090079	0.662
GHR	8.4385e-05	0.662
CDK5RAP2	4.6171e-23	0.663
GLRB	0.0014157	0.663
ZMYM1	1.317e-08	0.663
BMPER	6.5881e-07	0.663
NFE2L2	0.0035719	0.663
TCEB1	0.74421	0.663
MAP2K3	0.022009	0.663
COL8A2	0.11765	0.663
EIF6	0.2378	0.663
USP30	8.2501e-05	0.663
MKRN2	0.0088248	0.664
ZBTB24	0.00020919	0.664
ITGA8	6.0785e-13	0.664
ZNF346	0.11649	0.664
PEX1	1.0572e-14	0.664
CD44	2.4476e-07	0.664
