trait	cohort	lead_variant	ensgid	gene	chromosome	start	end	tss	pops_score	pops_rank	twas_z	twas_p	twas_rank	distance_tss	distance_tss_rank	distance_genebody	distance_genebody_rank
Celiac	UKB	rs13003464	ENSG00000162928	PEX13	2	61244360.0	61279125.0	61244360.0	-0.016712042800028026	8.0				57531.0	1.0	57531.0	3.0
Celiac	UKB	rs13003464	ENSG00000162929	KIAA1841	2	61293006.0	61391960.0	61293006.0	0.19257871922516	5.0				106177.0	4.0	106177.0	4.0
Celiac	UKB	rs13003464	ENSG00000237651	C2orf74	2	61372243.0	61391964.0	61372243.0	-0.0050309511443282365	7.0				185414.0	5.0	185414.0	6.0
Celiac	UKB	rs13003464	ENSG00000173209	AHSA2	2	61404553.0	61418338.0	61404553.0	0.26142239448115284	4.0				217724.0	7.0	217724.0	7.0
Celiac	UKB	rs13003464	ENSG00000115464	USP34	2	61414598.0	61697904.0	61697904.0	0.15269160867750184	6.0				511075.0	9.0	227769.0	8.0
Celiac	UKB	rs917997	ENSG00000115590	IL1R2	2	102608306.0	102645006.0	102608306.0	-0.10730269140082516	6.0				462262.0	10.0	425562.0	10.0
Celiac	UKB	rs917997	ENSG00000115594	IL1R1	2	102681004.0	102796334.0	102681004.0	0.396035473784088	3.0				389564.0	9.0	274234.0	8.0
Celiac	UKB	rs917997	ENSG00000115598	IL1RL2	2	102803433.0	102856462.0	102803433.0	-0.16470428252215685	7.0				267135.0	6.0	214106.0	6.0
Celiac	UKB	rs917997	ENSG00000115602	IL1RL1	2	102927962.0	102968497.0	102927962.0	0.762059231664826	1.0				142606.0	4.0	102071.0	4.0
Celiac	UKB	rs917997	ENSG00000115604	IL18R1	2	102927989.0	103015218.0	102927989.0	0.01826934499009655	5.0				142579.0	3.0	55350.0	3.0
Celiac	UKB	rs917997	ENSG00000115607	IL18RAP	2	103035149.0	103069025.0	103035149.0	-0.2185789446689425	8.0				35419.0	2.0	1543.0	1.0
Celiac	UKB	rs917997	ENSG00000180251	SLC9A4	2	103089762.0	103150431.0	103089762.0	0.23345685449581954	4.0				19194.0	1.0	19194.0	2.0
Celiac	UKB	rs917997	ENSG00000115616	SLC9A2	2	103236166.0	103327777.0	103236166.0	0.4473443824710505	2.0				165598.0	5.0	165598.0	5.0
Celiac	UKB	rs917997	ENSG00000135953	MFSD9	2	103332299.0	103353347.0	103353347.0	-0.4734068416036657	10.0				282779.0	7.0	261731.0	7.0
Celiac	UKB	rs917997	ENSG00000170417	TMEM182	2	103353367.0	103460352.0	103353367.0	-0.3548926168848309	9.0				282799.0	8.0	282799.0	9.0
Celiac	UKB	rs1018326	ENSG00000170035	UBE2E3	2	181831975.0	181941312.0	181831975.0	0.3354630832087416	2.0				175825.0	1.0	66488.0	1.0
Celiac	UKB	rs1018326	ENSG00000115232	ITGA4	2	182321929.0	182400914.0	182321929.0	0.944884403912688	1.0				314129.0	2.0	314129.0	2.0
Celiac	UKB	rs1018326	ENSG00000188452	CERKL	2	182401403.0	182545392.0	182545392.0	0.1533326526849274	3.0				537592.0	3.0	393603.0	3.0
Celiac	UKB	rs13098911	ENSG00000211456	SACM1L	3	45730548.0	45786916.0	45730548.0	-0.15539735438892438	14.0				504653.0	18.0	448285.0	17.0
Celiac	UKB	rs13098911	ENSG00000163817	SLC6A20	3	45796942.0	45838027.0	45838027.0	-0.14209911533117014	12.0				397174.0	16.0	397174.0	16.0
Celiac	UKB	rs13098911	ENSG00000163818	LZTFL1	3	45864808.0	45957534.0	45957534.0	0.09592139743777844	8.0				277667.0	9.0	277667.0	10.0
Celiac	UKB	rs13098911	ENSG00000173585	CCR9	3	45927996.0	45944667.0	45927996.0	0.09889071283672517	7.0				307205.0	12.0	290534.0	11.0
Celiac	UKB	rs13098911	ENSG00000163820	FYCO1	3	45959396.0	46037316.0	46037316.0	0.4713208224485704	1.0				197885.0	6.0	197885.0	6.0
Celiac	UKB	rs13098911	ENSG00000172215	CXCR6	3	45982425.0	45989845.0	45982425.0	-0.2523442582544758	16.0				252776.0	8.0	245356.0	9.0
Celiac	UKB	rs13098911	ENSG00000173578	XCR1	3	46058516.0	46069234.0	46069234.0	0.4131442602423438	3.0				165967.0	4.0	165967.0	4.0
Celiac	UKB	rs13098911	ENSG00000183625	CCR3	3	46205096.0	46308197.0	46205096.0	0.224701505056436	5.0				30105.0	2.0	0.0	1.0
Celiac	UKB	rs13098911	ENSG00000163823	CCR1	3	46243200.0	46249887.0	46249887.0	-0.5923322563530248	18.0				14686.0	1.0	7999.0	2.0
Celiac	UKB	rs13098911	ENSG00000121807	CCR2	3	46395225.0	46402419.0	46395225.0	0.19530457059813647	6.0				160024.0	3.0	160024.0	3.0
Celiac	UKB	rs13098911	ENSG00000160791	CCR5	3	46411633.0	46417697.0	46411633.0	0.2877182217893366	4.0				176432.0	5.0	176432.0	5.0
Celiac	UKB	rs13098911	ENSG00000121797	CCRL2	3	46448654.0	46454488.0	46448654.0	-0.25506278927384896	17.0				213453.0	7.0	213453.0	7.0
Celiac	UKB	rs13098911	ENSG00000012223	LTF	3	46477136.0	46526724.0	46526724.0	0.470017375362121	2.0				291523.0	10.0	241935.0	8.0
Celiac	UKB	rs13098911	ENSG00000163825	RTP3	3	46538981.0	46542439.0	46538981.0	-0.2077859863821862	15.0				303780.0	11.0	303780.0	12.0
Celiac	UKB	rs13098911	ENSG00000163827	LRRC2	3	46556913.0	46621589.0	46621589.0	-0.09550921320707943	11.0				386388.0	15.0	321712.0	13.0
Celiac	UKB	rs13098911	ENSG00000268324	LUZPP1	3	46598888.0	46601178.0	46598888.0	-0.06015388344941755	10.0				363687.0	13.0	363687.0	14.0
Celiac	UKB	rs13098911	ENSG00000241186	TDGF1	3	46616045.0	46668033.0	46616045.0	-0.1510078263078046	13.0				380844.0	14.0	380844.0	15.0
Celiac	UKB	rs13098911	ENSG00000178038	ALS2CL	3	46710487.0	46735194.0	46735194.0	0.06175231142256912	9.0				499993.0	17.0	475286.0	18.0
Celiac	UKB	rs17810546	ENSG00000151967	SCHIP1	3	159557650.0	159615149.0	159557650.0	0.06283566223484151	2.0				107400.0	2.0	49901.0	2.0
Celiac	UKB	rs17810546	ENSG00000168811	IL12A	3	159706537.0	159713806.0	159706537.0	0.012135746705276536	3.0				41487.0	1.0	41487.0	1.0
Celiac	UKB	rs17810546	ENSG00000180044	C3orf80	3	159943423.0	159945999.0	159943423.0	-0.25012863932206936	6.0				278373.0	3.0	278373.0	3.0
Celiac	UKB	rs17810546	ENSG00000068885	IFT80	3	159974774.0	160117668.0	160117668.0	-0.18046976127339528	4.0				452618.0	5.0	309724.0	4.0
Celiac	UKB	rs17810546	ENSG00000113810	SMC4	3	160117062.0	160152750.0	160117062.0	0.07955646935628605	1.0				452012.0	4.0	452012.0	5.0
Celiac	UKB	rs17810546	ENSG00000213186	TRIM59	3	160150233.0	160203561.0	160203561.0	-0.22955839960162985	5.0				538511.0	6.0	485183.0	6.0
Celiac	UKB	rs9851967	ENSG00000145012	LPP	3	187871072.0	188608460.0	187871072.0	0.4774531084178426	1.0				216556.0	1.0	0.0	1.0
Celiac	UKB	rs13151961	ENSG00000164111	ANXA5	4	122589110.0	122618268.0	122618268.0	0.4526695466203886	3.0				497234.0	10.0	497234.0	10.0
Celiac	UKB	rs13151961	ENSG00000164112	TMEM155	4	122680088.0	122686582.0	122686582.0	0.090340641480604	5.0				428920.0	9.0	428920.0	9.0
Celiac	UKB	rs13151961	ENSG00000123737	EXOSC9	4	122722472.0	122738176.0	122722472.0	-0.13967256985502013	7.0				393030.0	7.0	377326.0	7.0
Celiac	UKB	rs13151961	ENSG00000145386	CCNA2	4	122737599.0	122745087.0	122745087.0	-0.2920442438456682	9.0				370415.0	6.0	370415.0	6.0
Celiac	UKB	rs13151961	ENSG00000138686	BBS7	4	122745595.0	122791652.0	122791652.0	-0.2916856031314001	8.0				323850.0	5.0	323850.0	5.0
Celiac	UKB	rs13151961	ENSG00000138741	TRPC3	4	122800182.0	122872909.0	122872909.0	-0.5138904428231348	10.0				242593.0	3.0	242593.0	3.0
Celiac	UKB	rs13151961	ENSG00000138688	KIAA1109	4	123073488.0	123283913.0	123073488.0	0.13898248612645833	4.0				42014.0	1.0	0.0	1.0
Celiac	UKB	rs13151961	ENSG00000164113	ADAD1	4	123300121.0	123350957.0	123300121.0	-0.05049363949019734	6.0				184619.0	2.0	184619.0	2.0
Celiac	UKB	rs13151961	ENSG00000109471	IL2	4	123372625.0	123377880.0	123377880.0	0.4542222411994285	2.0				262378.0	4.0	257123.0	4.0
Celiac	UKB	rs13151961	ENSG00000138684	IL21	4	123533783.0	123542224.0	123542224.0	0.7153808629834132	1.0				426722.0	8.0	418281.0	8.0
Celiac	UKB	rs2327832	ENSG00000164485	IL22RA2	6	137464968.0	137494785.0	137494785.0	0.12743519615694252	4.0				478283.0	5.0	478283.0	5.0
Celiac	UKB	rs2327832	ENSG00000027697	IFNGR1	6	137518621.0	137540586.0	137540586.0	0.273755188625731	3.0				432482.0	3.0	432482.0	3.0
Celiac	UKB	rs2327832	ENSG00000177468	OLIG3	6	137813336.0	137815531.0	137815531.0	-0.18481980043422647	5.0				157537.0	1.0	157537.0	1.0
Celiac	UKB	rs2327832	ENSG00000118503	TNFAIP3	6	138188351.0	138204449.0	138188351.0	1.0100144311417534	1.0				215283.0	2.0	215283.0	2.0
Celiac	UKB	rs2327832	ENSG00000112378	PERP	6	138409642.0	138428648.0	138428648.0	0.29471109932753464	2.0				455580.0	4.0	436574.0	4.0
Celiac	UKB	rs1738074	ENSG00000146433	TMEM181	6	158957468.0	159056460.0	158957468.0	0.06751016366135555	6.0				508509.0	8.0	409517.0	8.0
Celiac	UKB	rs1738074	ENSG00000146425	DYNLT1	6	159057506.0	159065771.0	159065771.0	0.2172606668950004	5.0				400206.0	7.0	400206.0	7.0
Celiac	UKB	rs1738074	ENSG00000164674	SYTL3	6	159071046.0	159185908.0	159071046.0	0.7593983679520262	1.0				394931.0	6.0	280069.0	6.0
Celiac	UKB	rs1738074	ENSG00000092820	EZR	6	159186773.0	159240444.0	159240444.0	0.5600436441870219	2.0				225533.0	5.0	225533.0	5.0
Celiac	UKB	rs1738074	ENSG00000203711	C6orf99	6	159290971.0	159331385.0	159290971.0	0.2971153290313304	4.0				175006.0	4.0	134592.0	4.0
Celiac	UKB	rs1738074	ENSG00000130363	RSPH3	6	159393903.0	159421219.0	159421219.0	-0.1272845083428288	8.0				44758.0	2.0	44758.0	2.0
Celiac	UKB	rs1738074	ENSG00000164691	TAGAP	6	159455500.0	159466184.0	159466184.0	0.4084578555464721	3.0				207.0	1.0	0.0	1.0
Celiac	UKB	rs1738074	ENSG00000164694	FNDC1	6	159590429.0	159693141.0	159590429.0	-0.1184969055973323	7.0				124452.0	3.0	124452.0	3.0
Celiac	UKB	rs11221335	ENSG00000134954	ETS1	11	128328656.0	128457453.0	128457453.0	0.763015252721443	1.0				71547.0	1.0	0.0	1.0
Celiac	UKB	rs11221335	ENSG00000151702	FLI1	11	128556430.0	128683162.0	128556430.0	0.27878461658705705	2.0				170524.0	2.0	170524.0	2.0
Celiac	UKB	rs11221335	ENSG00000151704	KCNJ1	11	128706210.0	128737268.0	128737268.0	-0.22438600328648045	7.0				351362.0	3.0	320304.0	3.0
Celiac	UKB	rs11221335	ENSG00000120457	KCNJ5	11	128761251.0	128790930.0	128761251.0	0.2051570544928814	3.0				375345.0	4.0	375345.0	4.0
Celiac	UKB	rs11221335	ENSG00000174370	C11orf45	11	128769460.0	128775930.0	128775930.0	0.05274296983611634	4.0				390024.0	5.0	383554.0	5.0
Celiac	UKB	rs11221335	ENSG00000120471	TP53AIP1	11	128804626.0	128813040.0	128813040.0	-0.17730410979538755	6.0				427134.0	6.0	418720.0	6.0
Celiac	UKB	rs11221335	ENSG00000134909	ARHGAP32	11	128834955.0	129149219.0	129149219.0	0.013970586937591614	5.0				763313.0	7.0	449049.0	7.0
Celiac	UKB	rs653178	ENSG00000111249	CUX2	12	111471828.0	111788358.0	111471828.0	0.3648665869500984	3.0				535928.0	10.0	219398.0	7.0
Celiac	UKB	rs653178	ENSG00000198324	FAM109A	12	111798455.0	111806925.0	111806925.0	0.062177130633631984	8.0				200831.0	6.0	200831.0	6.0
Celiac	UKB	rs653178	ENSG00000111252	SH2B3	12	111843752.0	111889427.0	111843752.0	0.7382874141449497	1.0				164004.0	4.0	118329.0	4.0
Celiac	UKB	rs653178	ENSG00000204842	ATXN2	12	111890018.0	112037480.0	112037480.0	0.017220207319146596	10.0				29724.0	1.0	0.0	1.0
Celiac	UKB	rs653178	ENSG00000089234	BRAP	12	112079950.0	112123790.0	112123790.0	0.34125576097402044	4.0				116034.0	2.0	72194.0	2.0
Celiac	UKB	rs653178	ENSG00000111271	ACAD10	12	112123857.0	112194903.0	112123857.0	0.032882494848184236	9.0				116101.0	3.0	116101.0	3.0
Celiac	UKB	rs653178	ENSG00000111275	ALDH2	12	112204691.0	112247782.0	112204691.0	-0.17547339085992658	11.0				196935.0	5.0	196935.0	5.0
Celiac	UKB	rs653178	ENSG00000089022	MAPKAPK5	12	112279782.0	112334343.0	112279782.0	0.18301447844067345	6.0				272026.0	7.0	272026.0	8.0
Celiac	UKB	rs653178	ENSG00000198270	TMEM116	12	112369086.0	112450970.0	112450970.0	0.2538556559933867	5.0				443214.0	8.0	361330.0	9.0
Celiac	UKB	rs653178	ENSG00000089248	ERP29	12	112451120.0	112461255.0	112451120.0	0.12376751487746802	7.0				443364.0	9.0	443364.0	10.0
Celiac	UKB	rs653178	ENSG00000111300	NAA25	12	112464500.0	112546826.0	112546826.0	0.5572161521616317	2.0				539070.0	11.0	456744.0	11.0
Crohns	UKB	rs697693	ENSG00000171735	CAMTA1	1	6845384.0	7829766.0	6845384.0	0.15680800566591438	3.0	1.52	0.128	6.0	1041040.0	8.0	56658.0	4.0
Crohns	UKB	rs697693	ENSG00000049245	VAMP3	1	7831329.0	7841492.0	7831329.0	0.012003211669528849	7.0	0.294	0.769	7.0	55095.0	3.0	44932.0	3.0
Crohns	UKB	rs697693	ENSG00000049246	PER3	1	7844380.0	7905237.0	7844380.0	0.05300429182449114	6.0	0.29100000000000004	0.7709999999999999	8.0	42044.0	2.0	0.0	1.0
Crohns	UKB	rs697693	ENSG00000049247	UTS2	1	7903143.0	7913572.0	7913572.0	0.3753055266970677	1.0	1.84	0.0659	5.0	27148.0	1.0	16719.0	2.0
Crohns	UKB	rs697693	ENSG00000049249	TNFRSF9	1	7979907.0	8000926.0	8000926.0	0.2681111368761886	2.0	2.52	0.0117	4.0	114502.0	4.0	93483.0	5.0
Crohns	UKB	rs697693	ENSG00000116288	PARK7	1	8014351.0	8045565.0	8014351.0	0.06745524237732843	4.0	2.62	0.00883	2.0	127927.0	5.0	127927.0	6.0
Crohns	UKB	rs697693	ENSG00000116285	ERRFI1	1	8064464.0	8086368.0	8086368.0	0.06646239771675473	5.0	2.89	0.0038	1.0	199944.0	6.0	178040.0	7.0
Crohns	UKB	rs697693	ENSG00000162426	SLC45A1	1	8377886.0	8404227.0	8377886.0	-0.03944236505404922	8.0	2.53	0.0114	3.0	491462.0	7.0	491462.0	8.0
Crohns	UKB	rs11209026	ENSG00000118473	SGIP1	1	66999066.0	67213982.0	66999066.0	-0.4727429835268383	12.0	2.09	0.0363	6.0	706892.0	12.0	491976.0	12.0
Crohns	UKB	rs11209026	ENSG00000152760	TCTEX1D1	1	67218142.0	67244470.0	67218142.0	0.09055777152030862	5.0	1.96	0.05	7.0	487816.0	10.0	461488.0	11.0
Crohns	UKB	rs11209026	ENSG00000172410	INSL5	1	67263424.0	67266939.0	67266939.0	0.0622012517820936	6.0	-6.48	9.26e-11	2.0	439019.0	8.0	439019.0	8.0
Crohns	UKB	rs11209026	ENSG00000152763	WDR78	1	67278568.0	67390570.0	67390570.0	-0.24438455093622385	10.0	4.06	4.8599999999999995e-05	5.0	315388.0	7.0	315388.0	7.0
Crohns	UKB	rs11209026	ENSG00000198160	MIER1	1	67390578.0	67454302.0	67390578.0	0.011718921468250787	7.0	0.47100000000000003	0.638	10.0	315380.0	6.0	251656.0	6.0
Crohns	UKB	rs11209026	ENSG00000116704	SLC35D1	1	67465015.0	67519782.0	67519782.0	-0.15651469706148471	9.0	6.29	3.25e-10	4.0	186176.0	4.0	186176.0	5.0
Crohns	UKB	rs11209026	ENSG00000203963	C1orf141	1	67557848.0	67697536.0	67697536.0	0.2127160460941986	4.0	10.3	1.13e-24	1.0	8422.0	1.0	8422.0	2.0
Crohns	UKB	rs11209026	ENSG00000162594	IL23R	1	67632083.0	67725662.0	67632083.0	0.8626996722563561	1.0				73875.0	3.0	0.0	1.0
Crohns	UKB	rs11209026	ENSG00000081985	IL12RB2	1	67773047.0	67862583.0	67773047.0	0.5699283754152067	2.0	6.33	2.47e-10	3.0	67089.0	2.0	67089.0	3.0
Crohns	UKB	rs11209026	ENSG00000142864	SERBP1	1	67873493.0	67896098.0	67896098.0	-0.1526702376863196	8.0	0.568	0.57	9.0	190140.0	5.0	167535.0	4.0
Crohns	UKB	rs11209026	ENSG00000116717	GADD45A	1	68150744.0	68154021.0	68150744.0	-0.3632310283009167	11.0				444786.0	9.0	444786.0	9.0
Crohns	UKB	rs11209026	ENSG00000172380	GNG12	1	68167149.0	68299150.0	68299150.0	0.3641883719330879	3.0	1.37	0.16899999999999998	8.0	593192.0	11.0	461191.0	10.0
Crohns	UKB	rs7543234	ENSG00000143603	KCNN3	1	154669931.0	154842756.0	154842756.0	0.07849087962740567	17.0	4.55	5.25e-06	14.0	410552.0	35.0	410552.0	35.0
Crohns	UKB	rs7543234	ENSG00000163344	PMVK	1	154897210.0	154909467.0	154909467.0	-0.15859180674518358	33.0	-1.57	0.11699999999999999	27.0	343841.0	32.0	343841.0	32.0
Crohns	UKB	rs7543234	ENSG00000163346	PBXIP1	1	154916552.0	154928599.0	154928599.0	0.33412435295064363	6.0	3.72	0.00020099999999999998	20.0	324709.0	30.0	324709.0	30.0
Crohns	UKB	rs7543234	ENSG00000163348	PYGO2	1	154929502.0	154936329.0	154936329.0	0.08731880514759473	16.0	3.17	0.0015400000000000001	23.0	316979.0	29.0	316979.0	29.0
Crohns	UKB	rs7543234	ENSG00000160691	SHC1	1	154934774.0	154946871.0	154946871.0	0.4455969517663455	3.0	0.925	0.355	30.0	306437.0	28.0	306437.0	28.0
Crohns	UKB	rs7543234	ENSG00000173207	CKS1B	1	154947129.0	154951725.0	154947129.0	-0.015041778311884569	24.0				306179.0	27.0	301583.0	27.0
Crohns	UKB	rs7543234	ENSG00000160688	FLAD1	1	154955814.0	154965587.0	154955814.0	-0.56228575131402	36.0	4.7	2.6e-06	12.0	297494.0	26.0	287721.0	26.0
Crohns	UKB	rs7543234	ENSG00000163352	LENEP	1	154966062.0	154966791.0	154966062.0	-0.0904206899255965	31.0				287246.0	25.0	286517.0	25.0
Crohns	UKB	rs7543234	ENSG00000160685	ZBTB7B	1	154975127.0	154990998.0	154975127.0	0.40782227709311736	4.0	-1.16	0.244	29.0	278181.0	23.0	262310.0	24.0
Crohns	UKB	rs7543234	ENSG00000163354	DCST2	1	154990996.0	155006257.0	155006257.0	0.028584141103887545	21.0	4.35	1.39e-05	16.0	247051.0	22.0	247051.0	23.0
Crohns	UKB	rs7543234	ENSG00000163357	DCST1	1	155006300.0	155023406.0	155006300.0	-0.07808419160106189	29.0	4.08	4.4200000000000004e-05	18.0	247008.0	21.0	229902.0	22.0
Crohns	UKB	rs7543234	ENSG00000143537	ADAM15	1	155023042.0	155035252.0	155023042.0	-0.0249003771896308	25.0	-1.24	0.214	28.0	230266.0	20.0	218056.0	21.0
Crohns	UKB	rs7543234	ENSG00000243364	EFNA4	1	155036207.0	155042029.0	155036207.0	0.2652813903860273	7.0	-6.03	1.6399999999999995e-09	1.0	217101.0	19.0	211279.0	20.0
Crohns	UKB	rs7543234	ENSG00000143590	EFNA3	1	155036224.0	155060014.0	155036224.0	-0.07209349043148038	28.0	-2.75	0.00602	24.0	217084.0	17.0	193294.0	18.0
Crohns	UKB	rs7543234	ENSG00000251246	EFNA3	1	155036224.0	155059283.0	155036224.0	-0.2558194780859856	34.0	-2.75	0.00602	24.0	217084.0	17.0	194025.0	19.0
Crohns	UKB	rs7543234	ENSG00000169242	EFNA1	1	155099936.0	155107333.0	155099936.0	-0.00851504027022583	23.0	3.96	7.42e-05	19.0	153372.0	16.0	145975.0	17.0
Crohns	UKB	rs7543234	ENSG00000169241	SLC50A1	1	155107820.0	155111329.0	155107820.0	0.0049231079249429715	22.0	2.18	0.0293	26.0	145488.0	15.0	141979.0	16.0
Crohns	UKB	rs7543234	ENSG00000179085	DPM3	1	155112367.0	155113071.0	155113071.0	0.06737531021231193	18.0				140237.0	14.0	140237.0	15.0
Crohns	UKB	rs7543234	ENSG00000163463	KRTCAP2	1	155141884.0	155145951.0	155145951.0	0.035804403596555893	20.0				107357.0	12.0	107357.0	14.0
Crohns	UKB	rs7543234	ENSG00000163462	TRIM46	1	155145873.0	155157447.0	155145873.0	0.23255346835556925	10.0	3.28	0.00106	22.0	107435.0	13.0	95861.0	13.0
Crohns	UKB	rs7543234	ENSG00000185499	MUC1	1	155158300.0	155162707.0	155162707.0	0.9661204052807354	1.0	5.59	2.25e-08	5.0	90601.0	11.0	90601.0	12.0
Crohns	UKB	rs7543234	ENSG00000169231	THBS3	1	155165379.0	155178842.0	155178842.0	0.2316471703615549	11.0	5.37	7.85e-08	8.0	74466.0	9.0	74466.0	11.0
Crohns	UKB	rs7543234	ENSG00000173171	MTX1	1	155178490.0	155183615.0	155178490.0	0.042306442808038316	19.0	4.57	4.91e-06	13.0	74818.0	10.0	69693.0	10.0
Crohns	UKB	rs7543234	ENSG00000177628	GBA	1	155204243.0	155214490.0	155214490.0	0.19317469244320049	12.0	4.73	2.26e-06	11.0	38818.0	8.0	38818.0	8.0
Crohns	UKB	rs7543234	ENSG00000160767	FAM189B	1	155216996.0	155225274.0	155225274.0	0.25777173200760195	8.0	5.47	4.45e-08	6.0	28034.0	6.0	28034.0	6.0
Crohns	UKB	rs7543234	ENSG00000116521	SCAMP3	1	155225770.0	155232221.0	155232221.0	0.17206330027983088	14.0	5.77	8.02e-09	3.0	21087.0	4.0	21087.0	4.0
Crohns	UKB	rs7543234	ENSG00000176444	CLK2	1	155232659.0	155248282.0	155248282.0	0.18143550923900484	13.0				5026.0	1.0	5026.0	2.0
Crohns	UKB	rs7543234	ENSG00000143630	HCN3	1	155247374.0	155259639.0	155247374.0	-0.030774618677429783	26.0	-3.66	0.00025	21.0	5934.0	2.0	0.0	1.0
Crohns	UKB	rs7543234	ENSG00000143627	PKLR	1	155259630.0	155271225.0	155271225.0	0.2512543640526485	9.0	-5.4	6.73e-08	7.0	17917.0	3.0	6322.0	3.0
Crohns	UKB	rs7543234	ENSG00000160752	FDPS	1	155278539.0	155290457.0	155278539.0	-0.31918795164276537	35.0	5.81	6.28e-09	2.0	25231.0	5.0	25231.0	5.0
Crohns	UKB	rs7543234	ENSG00000160753	RUSC1	1	155290687.0	155300905.0	155290687.0	0.08820524783710297	15.0	-4.5	6.82e-06	15.0	37379.0	7.0	37379.0	7.0
Crohns	UKB	rs7543234	ENSG00000116539	ASH1L	1	155305059.0	155532598.0	155532598.0	0.4702067957047844	2.0	5.67	1.44e-08	4.0	279290.0	24.0	51751.0	9.0
Crohns	UKB	rs7543234	ENSG00000125459	MSTO1	1	155579979.0	155718153.0	155579979.0	-0.05253742863418498	27.0	4.75	2.06e-06	10.0	326671.0	31.0	326671.0	31.0
Crohns	UKB	rs7543234	ENSG00000163374	YY1AP1	1	155629237.0	155658791.0	155658791.0	-0.08375279235428182	30.0	-4.27	1.98e-05	17.0	405483.0	34.0	375929.0	33.0
Crohns	UKB	rs7543234	ENSG00000132676	DAP3	1	155657751.0	155708801.0	155657751.0	-0.09153363749807786	32.0	4.95	7.340000000000002e-07	9.0	404443.0	33.0	404443.0	34.0
Crohns	UKB	rs7543234	ENSG00000116580	GON4L	1	155719508.0	155829191.0	155829191.0	0.36633279031505184	5.0	-0.42100000000000004	0.674	31.0	575883.0	36.0	466200.0	36.0
Crohns	UKB	rs6704109	ENSG00000197959	DNM3	1	171810621.0	172387606.0	171810621.0	-0.09820676420469464	6.0	0.775	0.43799999999999994	6.0	1046429.0	7.0	469444.0	7.0
Crohns	UKB	rs6704109	ENSG00000135845	PIGC	1	172339329.0	172413230.0	172413230.0	-0.16067215054833175	7.0	2.43	0.0151	3.0	443820.0	5.0	443820.0	6.0
Crohns	UKB	rs6704109	ENSG00000180999	C1orf105	1	172389828.0	172437971.0	172389828.0	-0.08475808271383506	5.0	2.25	0.0246	4.0	467222.0	6.0	419079.0	5.0
Crohns	UKB	rs6704109	ENSG00000094975	SUCO	1	172501489.0	172580971.0	172501489.0	0.2163247446416328	4.0	1.51	0.131	5.0	355561.0	4.0	276079.0	3.0
Crohns	UKB	rs6704109	ENSG00000117560	FASLG	1	172628154.0	172636014.0	172628154.0	0.4795543533292518	2.0				228896.0	2.0	221036.0	2.0
Crohns	UKB	rs6704109	ENSG00000120337	TNFSF18	1	173009100.0	173020103.0	173020103.0	0.2838521813154585	3.0	3.03	0.0024100000000000002	2.0	163053.0	1.0	152050.0	1.0
Crohns	UKB	rs6704109	ENSG00000117586	TNFSF4	1	173152873.0	173176452.0	173176452.0	1.4420696554724322	1.0	6.2	5.73e-10	1.0	319402.0	3.0	295823.0	4.0
Crohns	UKB	rs3024505	ENSG00000163486	SRGAP2	1	206516200.0	206637783.0	206516200.0	-0.18191904913434725	16.0	3.55	0.000379	1.0	423704.0	19.0	302121.0	17.0
Crohns	UKB	rs3024505	ENSG00000143466	IKBKE	1	206643791.0	206670223.0	206643791.0	-0.0581901928838486	13.0	1.65	0.0995	6.0	296113.0	16.0	269681.0	14.0
Crohns	UKB	rs3024505	ENSG00000162888	C1orf147	1	206664449.0	206671061.0	206671061.0	0.01057097774195285	10.0	1.18	0.239	9.0	268843.0	13.0	268843.0	13.0
Crohns	UKB	rs3024505	ENSG00000136653	RASSF5	1	206680879.0	206762616.0	206680879.0	0.05171365223617485	7.0	1.31	0.18899999999999997	7.0	259025.0	11.0	177288.0	10.0
Crohns	UKB	rs3024505	ENSG00000143486	EIF2D	1	206744620.0	206785904.0	206785904.0	0.10949250170568388	4.0	0.174	0.861	16.0	154000.0	7.0	154000.0	8.0
Crohns	UKB	rs3024505	ENSG00000143479	DYRK3	1	206808881.0	206857764.0	206808881.0	0.11463513755531365	3.0	1.24	0.215	8.0	131023.0	6.0	82140.0	4.0
Crohns	UKB	rs3024505	ENSG00000162889	MAPKAPK2	1	206858289.0	206907628.0	206858289.0	-0.04773466094399769	12.0	1.92	0.0545	4.0	81615.0	3.0	32276.0	2.0
Crohns	UKB	rs3024505	ENSG00000136634	IL10	1	206940947.0	206945839.0	206945839.0	3.2721661317816717	1.0	1.17	0.243	10.0	5935.0	1.0	1043.0	1.0
Crohns	UKB	rs3024505	ENSG00000142224	IL19	1	206972215.0	207016324.0	206972215.0	-0.2248235129221437	18.0	-0.226	0.821	14.0	32311.0	2.0	32311.0	3.0
Crohns	UKB	rs3024505	ENSG00000162891	IL20	1	207038699.0	207042568.0	207038699.0	-0.17869169840276966	15.0	-0.191	0.848	15.0	98795.0	4.0	98795.0	5.0
Crohns	UKB	rs3024505	ENSG00000162892	IL24	1	207070788.0	207077484.0	207070788.0	0.2693582421492524	2.0	1.76	0.0788	5.0	130884.0	5.0	130884.0	6.0
Crohns	UKB	rs3024505	ENSG00000162894	FAIM3	1	207077731.0	207096592.0	207096592.0	-0.03775144105045294	11.0				156688.0	8.0	137827.0	7.0
